# The exercise vocabulary (DESIGN_strength_tracking.md §4): one exercise per line,
# its movement pattern, its equipment class, and the Garmin names that mean it.
# A Garmin name is CATEGORY/NAME; a bare CATEGORY is a set tagged with the category
# and no exercise. Authored from Garmin Connect's exercise catalog and the FIT SDK
# exercise names on 2026-09-14; a name Garmin adds later is added here by hand.
# The photos column is the id of the same exercise in Free Exercise DB (public domain), whose
# two photos the gym logger shows (DESIGN_gym_logger.md §2); empty when it has no exact match.
# exercise	pattern	equipment	garmin names	photos
machine chest press	push_horizontal	machine		Machine_Bench_Press
machine shoulder press	push_vertical	machine		Machine_Shoulder_Military_Press
machine row	pull_horizontal	machine	
leg extension	accessory	machine	BANDED_EXERCISES/LEG_EXTENSION
pec deck	accessory	machine	
hip abduction machine	accessory	machine	
hip adduction machine	accessory	machine	
alternating dumbbell chest press	push_horizontal	dumbbell	BENCH_PRESS/ALTERNATING_DUMBBELL_CHEST_PRESS
alternating dumbbell chest press on swiss ball	push_horizontal	dumbbell	BENCH_PRESS/ALTERNATING_DUMBBELL_CHEST_PRESS_ON_SWISS_BALL
barbell bench press	push_horizontal	barbell	BENCH_PRESS/BARBELL_BENCH_PRESS	Barbell_Bench_Press_-_Medium_Grip
barbell board bench press	push_horizontal	barbell	BENCH_PRESS/BARBELL_BOARD_BENCH_PRESS	Board_Press
barbell floor press	push_horizontal	barbell	BENCH_PRESS/BARBELL_FLOOR_PRESS	Floor_Press
bench press	push_horizontal	barbell	BENCH_PRESS/BENCH_PRESS BENCH_PRESS
close grip barbell bench press	push_horizontal	barbell	BENCH_PRESS/CLOSE_GRIP_BARBELL_BENCH_PRESS	Close-Grip_Barbell_Bench_Press
decline barbell bench press	push_horizontal	barbell	BENCH_PRESS/DECLINE_BARBELL_BENCH_PRESS	Decline_Barbell_Bench_Press
decline dumbbell bench press	push_horizontal	dumbbell	BENCH_PRESS/DECLINE_DUMBBELL_BENCH_PRESS	Decline_Dumbbell_Bench_Press
dumbbell bench press	push_horizontal	dumbbell	BENCH_PRESS/DUMBBELL_BENCH_PRESS	Dumbbell_Bench_Press
dumbbell floor press	push_horizontal	dumbbell	BENCH_PRESS/DUMBBELL_FLOOR_PRESS	Dumbbell_Floor_Press
incline barbell bench press	push_horizontal	barbell	BENCH_PRESS/INCLINE_BARBELL_BENCH_PRESS	Barbell_Incline_Bench_Press_-_Medium_Grip
incline dumbbell bench press	push_horizontal	dumbbell	BENCH_PRESS/INCLINE_DUMBBELL_BENCH_PRESS	Incline_Dumbbell_Press
incline smith machine bench press	push_horizontal	machine	BENCH_PRESS/INCLINE_SMITH_MACHINE_BENCH_PRESS	Smith_Machine_Incline_Bench_Press
isometric barbell bench press	push_horizontal	barbell	BENCH_PRESS/ISOMETRIC_BARBELL_BENCH_PRESS
kettlebell chest press	push_horizontal	kettlebell	BENCH_PRESS/KETTLEBELL_CHEST_PRESS
neutral grip dumbbell bench press	push_horizontal	dumbbell	BENCH_PRESS/NEUTRAL_GRIP_DUMBBELL_BENCH_PRESS	Dumbbell_Bench_Press_with_Neutral_Grip
neutral grip dumbbell incline bench press	push_horizontal	dumbbell	BENCH_PRESS/NEUTRAL_GRIP_DUMBBELL_INCLINE_BENCH_PRESS	Hammer_Grip_Incline_DB_Bench_Press
one arm floor press	push_horizontal	bodyweight	BENCH_PRESS/ONE_ARM_FLOOR_PRESS BENCH_PRESS/WEIGHTED_ONE_ARM_FLOOR_PRESS
partial lockout	push_horizontal	barbell	BENCH_PRESS/PARTIAL_LOCKOUT
reverse grip barbell bench press	push_horizontal	barbell	BENCH_PRESS/REVERSE_GRIP_BARBELL_BENCH_PRESS	Reverse_Triceps_Bench_Press
reverse grip incline bench press	push_horizontal	barbell	BENCH_PRESS/REVERSE_GRIP_INCLINE_BENCH_PRESS
single arm cable chest press	push_horizontal	cable	BENCH_PRESS/SINGLE_ARM_CABLE_CHEST_PRESS
single arm dumbbell bench press	push_horizontal	dumbbell	BENCH_PRESS/SINGLE_ARM_DUMBBELL_BENCH_PRESS	One_Arm_Dumbbell_Bench_Press
smith machine bench press	push_horizontal	machine	BENCH_PRESS/SMITH_MACHINE_BENCH_PRESS	Smith_Machine_Bench_Press
swiss ball dumbbell chest press	push_horizontal	dumbbell	BENCH_PRESS/SWISS_BALL_DUMBBELL_CHEST_PRESS
triple stop barbell bench press	push_horizontal	barbell	BENCH_PRESS/TRIPLE_STOP_BARBELL_BENCH_PRESS
wide grip barbell bench press	push_horizontal	barbell	BENCH_PRESS/WIDE_GRIP_BARBELL_BENCH_PRESS	Wide-Grip_Barbell_Bench_Press
air squat	squat	bodyweight	SQUAT/AIR_SQUAT	Bodyweight_Squat
alternating box dumbbell step ups	single_leg	dumbbell	SQUAT/ALTERNATING_BOX_DUMBBELL_STEP_UPS	Dumbbell_Step_Ups
back squat with body bar	squat	barbell	SQUAT/BACK_SQUAT_WITH_BODY_BAR
back squats	squat	bodyweight	SQUAT/BACK_SQUATS SQUAT/WEIGHTED_BACK_SQUATS
balancing squat	squat	bodyweight	SQUAT/BALANCING_SQUAT SQUAT/WEIGHTED_BALANCING_SQUAT
barbell back squat	squat	barbell	SQUAT/BARBELL_BACK_SQUAT	Barbell_Squat
barbell box squat	squat	barbell	SQUAT/BARBELL_BOX_SQUAT	Box_Squat
barbell front squat	squat	barbell	SQUAT/BARBELL_FRONT_SQUAT	Front_Barbell_Squat
barbell hack squat	squat	barbell	SQUAT/BARBELL_HACK_SQUAT	Barbell_Hack_Squat
barbell half squat	squat	barbell	SQUAT/BARBELL_HALF_SQUAT
barbell hang squat snatch	hinge	barbell	SQUAT/BARBELL_HANG_SQUAT_SNATCH	Hang_Snatch
barbell lateral step up	single_leg	barbell	SQUAT/BARBELL_LATERAL_STEP_UP
barbell quarter squat	squat	barbell	SQUAT/BARBELL_QUARTER_SQUAT
barbell siff squat	squat	barbell	SQUAT/BARBELL_SIFF_SQUAT
barbell squat snatch	hinge	barbell	SQUAT/BARBELL_SQUAT_SNATCH	Snatch
barbell squat with heels raised	squat	barbell	SQUAT/BARBELL_SQUAT_WITH_HEELS_RAISED
barbell step up	single_leg	barbell	SQUAT/BARBELL_STEP_UP	Barbell_Step_Ups
barbell stepover	squat	barbell	SQUAT/BARBELL_STEPOVER
belt squat	squat	machine	SQUAT/BELT_SQUAT
bench squat with rotational chop	squat	bodyweight	SQUAT/BENCH_SQUAT_WITH_ROTATIONAL_CHOP SQUAT/WEIGHTED_BENCH_SQUAT_WITH_ROTATIONAL_CHOP
body weight wall squat	squat	bodyweight	SQUAT/BODY_WEIGHT_WALL_SQUAT
box step squat	squat	bodyweight	SQUAT/BOX_STEP_SQUAT SQUAT/WEIGHTED_BOX_STEP_SQUAT
braced squat	squat	barbell	SQUAT/BRACED_SQUAT
crossed arm barbell front squat	squat	barbell	SQUAT/CROSSED_ARM_BARBELL_FRONT_SQUAT
crossover dumbbell step up	single_leg	dumbbell	SQUAT/CROSSOVER_DUMBBELL_STEP_UP
dumbbell front squat	squat	dumbbell	SQUAT/DUMBBELL_FRONT_SQUAT
dumbbell overhead squat single arm	squat	dumbbell	SQUAT/DUMBBELL_OVERHEAD_SQUAT_SINGLE_ARM
dumbbell split squat	single_leg	dumbbell	SQUAT/DUMBBELL_SPLIT_SQUAT	Split_Squat_with_Dumbbells
dumbbell squat	squat	dumbbell	SQUAT/DUMBBELL_SQUAT	Dumbbell_Squat
dumbbell squat clean	hinge	dumbbell	SQUAT/DUMBBELL_SQUAT_CLEAN
dumbbell squat snatch	hinge	dumbbell	SQUAT/DUMBBELL_SQUAT_SNATCH
dumbbell step up	single_leg	dumbbell	SQUAT/DUMBBELL_STEP_UP	Dumbbell_Step_Ups
dumbbell stepover	squat	dumbbell	SQUAT/DUMBBELL_STEPOVER
dumbbell thrusters	squat	dumbbell	SQUAT/DUMBBELL_THRUSTERS
elevated single leg squat	single_leg	bodyweight	SQUAT/ELEVATED_SINGLE_LEG_SQUAT SQUAT/WEIGHTED_ELEVATED_SINGLE_LEG_SQUAT
figure four squats	squat	bodyweight	SQUAT/FIGURE_FOUR_SQUATS SQUAT/WEIGHTED_FIGURE_FOUR_SQUATS
goblet squat	squat	dumbbell	SQUAT/GOBLET_SQUAT
kettlebell squat	squat	kettlebell	SQUAT/KETTLEBELL_SQUAT	Goblet_Squat
kettlebell swing overhead	hinge	kettlebell	SQUAT/KETTLEBELL_SWING_OVERHEAD
kettlebell swing with flip to squat	hinge	kettlebell	SQUAT/KETTLEBELL_SWING_WITH_FLIP_TO_SQUAT
lateral dumbbell step up	single_leg	dumbbell	SQUAT/LATERAL_DUMBBELL_STEP_UP
leg press	squat	machine	SQUAT/LEG_PRESS	Leg_Press
medicine ball squat	squat	dumbbell	SQUAT/MEDICINE_BALL_SQUAT
